Intersection,Count,Percentage
Black x Female,4360,0.8145939361328461
White x Female,3455,0.6455096443438035
Asian x Female,2933,0.5479825721737701
Black x Male,2647,0.4945481992990008
White x Male,1537,0.2871630458339873
Other x Female,1447,0.27034803339087804
Latina x Female,1218,0.22756316839674462
Asian x Male,847,0.15824795043681666
Latina x Male,576,0.10761607963589892
Other x Male,540,0.10089007465865524
African x Female,174,0.032509024056677806
African x Male,57,0.010649507880635832
Asian x Trans,2,0.0003736669431802046
Black x Trans,1,0.0001868334715901023
Latina x Trans,1,0.0001868334715901023
